word,count
a,6
able,1
an,1
and,2
at,1
be,3
brotherhood.,1
but,1
by,2
character.,1
children,1
color,1
content,1
day,3
down,1
dream,4
even,1
former,2
four,1
freedom,1
georgia,1
have,4
heat,2
hills,1
i,4
in,1
injustice,,1
into,1
judged,1
justice.,1
little,1
live,1
mississippi,,1
my,1
nation,1
not,1
oasis,1
of,10
on,1
one,3
oppression,,1
owners,1
red,1
sit,1
skin,1
slave,1
slaves,1
sons,2
state,2
sweltering,2
table,1
that,3
the,9
their,2
they,1
to,1
today.,1
together,1
transformed,1
where,1
will,4
with,2
